gene_name,1cell_A.x,1cell_B.x,2cell_A.x,2cell_B.x,1cell_A.y,1cell_B.y,2cell_B.y,2cell_A.y
rbm-28,360,386,165,74,47,26,7,20
R05H10.3,300,1186,456,103,36,27,39,48
gpx-2,28,87,20,28,30,31,25,21
cdh-7,0,1,0,0,1,1,1,1
R05H11.1,479,321,322,137,15,22,1,1
R05H11.2,0,14,0,6,2,2,1,1
cdc-25.4,2,0,0,0,1,1,1,1
R05H5.3,4679,13303,6825,1970,142,139,326,227
R05H5.4,35,37,40,4,1,1,1,1
R05H5.5,546,566,486,225,31,59,2,10
R05H5.7,0,1,0,0,1,1,1,2
R06A10.1,4,0,1,0,1,1,1,1
R06A10.4,27,11,3,1,1,1,1,1
acr-20,0,4,0,0,1,1,1,1
R06A4.2,210,418,128,36,48,31,28,34
imb-2,572,2885,852,103,188,173,249,275
sdz-26,4,28,0,1,1,1,3,2
mes-2,659,2143,754,267,78,68,61,62
agl-1,500,453,210,158,34,56,1,8
pfs-2,1030,1983,675,215,137,118,115,106
trp-2,10,14,4,0,1,5,1,1
tbc-10,403,615,250,120,28,14,9,6
arrd-13,582,549,395,160,11,15,1,3
arrd-14,11,23,13,3,1,2,1,1
R06B9.5,92,243,86,17,14,4,1,8
mig-14,553,1643,665,237,73,65,55,58
hda-3,508,1987,629,169,76,46,137,112
fdps-1,625,556,322,195,34,43,2,5
wve-1,110,166,116,56,82,59,31,30
R06C1.4,9,17,2,2,3,2,1,1
R06C1.6,44,11,32,12,3,3,1,1
wago-1,14672,15654,8713,4053,677,1052,158,225
R06C7.2,157,102,68,37,12,12,1,1
dhp-1,1,0,0,0,1,1,1,1
cpg-3,2546,3741,204,156,52,148,1,14
adsl-1,888,590,589,264,21,39,22,12
R06C7.6,97,192,101,58,3,8,7,2
lin-61,1117,3349,1171,357,86,54,127,106
bub-1,1930,4804,2150,687,223,195,267,252
ztf-15,2147,1809,1144,612,133,112,1,5
cdl-1,2681,8348,2838,543,234,246,190,158
tag-209,8,28,9,1,1,1,1,1
R06F6.12,1258,1739,998,334,66,82,40,49
vps-11,263,499,219,92,78,84,45,53
set-14,513,630,420,170,17,18,12,11
npp-19,642,4224,1245,163,109,73,184,144
ceh-62,0,1,6,0,1,1,1,1
