gene_name,1cell_A.x,1cell_B.x,2cell_A.x,2cell_B.x,1cell_A.y,1cell_B.y,2cell_B.y,2cell_A.y
sld-5,178,325,235,55,44,37,40,28
Y113G7B.27,2,0,0,0,1,1,1,1
fbxa-115,48,66,26,25,2,1,1,1
ftr-1,45,52,60,20,4,2,1,1
fog-2,657,571,451,267,35,41,8,20
fbxa-113,12,3,0,0,1,1,1,1
fbxa-114,167,134,125,67,6,3,1,3
fbxb-59,28,27,22,2,1,1,1,1
Y113G7C.1,1,0,1,0,1,2,1,1
Y116A8A.150,0,5,0,0,1,1,1,1
map-2,665,1156,632,246,62,59,20,14
npr-32,2,10,1,0,1,1,1,2
Y116A8C.10,68,43,33,25,4,3,1,3
arf-6,155,193,70,33,16,13,9,1
Y116A8C.13,197,381,117,70,42,23,13,9
rom-4,284,1250,341,59,64,40,36,50
dct-13,2,1,2,0,1,1,1,1
Y116A8C.19,2,2,1,0,1,1,1,1
Y116A8C.20,2,0,0,0,1,2,1,1
athp-3,158,225,156,66,2,7,8,8
Y116A8C.25,3,6,7,2,1,1,2,1
snx-13,565,540,324,190,73,74,4,15
Y116A8C.27,248,179,207,90,42,39,4,5
bca-2,190,113,98,68,9,14,1,2
Y116A8C.29,2,0,0,0,1,1,1,1
Y116A8C.30,174,181,109,59,17,20,1,2
sfa-1,173,107,65,65,105,99,113,126
cyn-13,757,1235,661,269,35,68,21,15
uaf-2,183,551,192,45,63,80,98,79
itsn-1,798,655,269,231,132,126,3,35
Y116A8C.38,0,3,0,0,1,1,1,1
nep-23,0,0,1,0,1,1,1,1
snr-1,1632,1727,1104,520,34,41,27,25
Y116A8C.44,0,0,1,2,1,1,1,1
nep-24,0,0,1,0,1,1,1,1
Y116A8C.9,99,128,59,38,51,46,11,29
gly-4,272,594,259,99,25,28,14,33
Y116F11B.14,0,0,3,0,1,1,1,1
Y116F11B.8,0,0,1,0,1,1,1,1
Y119C1A.1,364,663,395,146,90,85,83,85
Y119C1B.10,122,185,104,36,8,17,10,9
mrpl-19,531,575,350,157,29,34,15,24
rnf-145,599,543,332,149,42,48,32,39
bet-1,510,1130,353,169,223,196,253,193
orc-3,613,1865,689,314,54,40,91,66
Y119D3B.12,503,971,193,114,24,24,35,34
Y119D3B.14,117,86,19,24,12,24,1,9
dss-1,488,767,357,144,175,132,116,66
mrpl-45,13,11,5,5,30,30,1,2
fbxa-92,0,3,3,0,1,1,1,1
fbxa-76,91,102,36,28,4,3,2,1
fbxa-77,6,17,14,0,1,1,3,1
fbxa-63,4,7,2,8,1,1,2,1
Y11D7A.10,126,152,135,77,7,10,10,5
col-120,3,5,4,0,1,1,1,1
flh-1,1989,3731,2022,422,153,148,264,254
flh-3,440,1959,907,191,105,94,174,135
nmy-3,5,0,0,0,1,1,1,1
Y11D7A.3,3,2,2,0,2,1,1,1
Y11D7A.7,326,671,252,101,18,18,9,7
Y11D7A.8,19,17,2,1,3,2,1,1
Y11D7A.9,6,3,0,0,1,1,1,3
Y12A6A.1,0,3,2,0,1,1,1,1
Y13C8A.1,0,0,1,0,1,1,1,1
Y14H12B.1,1189,2677,1553,419,61,47,72,97
Y14H12B.2,1624,2960,1334,433,65,62,86,102
nhr-91,2,3,1,0,1,1,1,1
glb-28,0,0,3,0,1,1,1,1
Y15E3A.3,10,37,28,10,3,3,1,1
Y15E3A.4,0,17,6,0,1,1,1,1
math-44,3,1,0,0,1,1,1,1
nhr-230,18,20,14,8,4,1,1,1
nhr-65,70,146,70,23,4,6,2,3
cyp-33D3,0,0,1,0,1,1,1,1
Y17D7C.2,1,1,0,0,1,1,1,1
hmg-12,3186,3011,2416,1311,86,150,9,52
acbp-6,0,1,0,1,1,1,1,1
Y17G7B.10,881,815,753,297,26,44,9,16
arrd-7,4,4,1,0,1,1,1,1
Y17G7B.12,159,116,85,78,9,15,1,3
ippk-1,125,145,84,27,48,53,2,2
arrd-8,0,7,0,0,1,1,1,1
cnt-1,453,489,321,142,43,49,1,5
Y17G7B.17,558,1108,413,154,31,11,9,23
Y17G7B.18,105,116,74,36,42,30,11,8
Y17G7B.19,5,15,5,2,1,1,1,1
Y17G7B.20,322,562,350,130,106,103,9,25
Y17G7B.21,68,83,59,26,34,31,2,9
Y17G7B.23,0,6,0,4,1,1,1,1
ash-2,485,1470,541,161,88,79,59,53
Y17G7B.3,101,235,74,25,30,15,8,24
dhps-1,506,392,332,181,31,27,2,3
mcm-2,2986,10929,3264,982,441,431,498,541
glb-29,1,19,4,6,1,1,3,1
tpi-1,588,1948,563,206,83,71,61,55
Y17G7B.8,0,3,1,1,1,1,1,1
cyn-16,130,90,44,38,53,37,65,46
str-172,2,11,6,2,2,1,1,1
str-175,0,0,0,1,1,1,1,1
npp-26,4,9,2,0,1,3,3,2
Y17G9B.2,9,4,1,3,1,1,1,1
cyp-31A3,556,308,129,113,44,55,1,2
Y17G9B.4,20,92,23,5,1,1,1,5
Y17G9B.5,1689,2500,1143,451,56,46,22,20
fbxb-77,2,0,0,0,1,1,1,1
Y17G9B.8,66,49,37,31,4,1,2,1
memi-1,2169,2734,1086,650,42,42,13,17
attf-6,996,1684,701,295,128,130,66,59
clec-104,35,8,17,18,4,4,1,1
Y18D10A.11,3321,4564,1926,785,48,74,4,15
pad-1,414,982,381,215,149,144,7,29
coa-5,214,174,215,113,15,21,21,3
car-1,4717,4257,1481,1003,418,414,8,87
fkb-2,1705,3225,1797,551,13,15,39,33
pfn-1,4793,5451,3215,1576,122,146,6,14
Y18D10A.21,0,1,0,0,1,1,1,1
Y18D10A.23,2,3,10,0,1,1,1,1
clec-105,0,0,0,1,1,1,1,1
fkb-8,0,4,5,0,1,1,1,1
Y18D10A.3,2,6,11,3,1,1,4,2
gsk-3,140,548,171,63,177,69,4,6
nhx-8,19,18,19,3,13,7,5,4
ptr-17,0,1,0,0,1,1,1,1
mxt-1,1,1,0,0,1,1,1,1
Y18D10A.9,265,274,159,75,10,20,10,9
ptp-5.3,0,0,1,0,1,1,1,1
Y18H1A.11,0,2,0,0,1,1,1,1
col-47,2,0,0,0,1,1,1,1
col-46,3,3,0,0,1,1,1,1
Y18H1A.18,0,0,0,1,1,1,1,1
Y18H1A.2,425,439,232,160,12,17,21,18
hgap-1,779,895,362,161,76,124,25,33
Y18H1A.4,274,324,175,67,5,18,16,11
pif-1,536,1122,466,171,37,28,44,36
rec-1,227,463,188,59,10,10,5,12
Y18H1A.9,2,16,5,0,1,2,1,1
Y19D2B.1,0,3,0,0,1,1,1,1
Y19D2B.2,0,0,5,0,1,1,1,1
fbxb-7,326,602,437,164,3,17,3,2
crtc-1,13,31,2,2,5,4,1,1
gap-3,107,199,144,49,63,75,1,6
Y20F4.4,416,740,328,101,37,24,21,16
Y22D7AL.10,853,1639,1008,308,33,50,8,13
cht-4,4,3,1,1,1,1,1,1
Y22D7AL.4,0,1,1,1,1,1,1,1
hsp-60,3265,2611,1096,697,363,393,1,44
Y22D7AL.6,2,0,8,0,1,1,1,1
Y22D7AL.7,95,192,87,61,5,8,4,1
sms-3,102,203,111,28,11,8,1,5
Y22D7AL.9,191,207,128,27,3,8,9,4
Y22D7AR.10,1,0,0,0,1,1,1,1
fbxa-13,29,30,11,11,1,1,1,1
ser-4,0,5,1,0,1,1,1,1
Y22D7AR.6,29,21,9,14,2,5,1,1
sri-18,0,0,1,0,1,1,1,1
ric-4,15,17,2,3,3,4,1,1
capa-1,0,2,15,7,1,1,1,1
Y23H5A.2,202,278,225,142,10,12,2,2
pid-3,1628,2137,1419,477,120,112,102,92
spe-47,0,39,9,0,2,1,1,1
ctn-1,99,188,60,34,5,9,1,3
cars-1,2062,2079,886,601,112,168,6,28
Y23H5B.1,1,0,0,0,1,1,1,1
Y23H5B.3,0,0,0,1,1,1,1,1
dmsr-2,0,7,2,3,1,1,2,1
Y23H5B.5,206,425,202,48,69,69,62,60
Y23H5B.6,703,589,265,201,43,77,4,13
Y23H5B.8,3,17,5,4,1,1,1,2
ell-1,346,781,290,91,90,52,9,9
set-21,140,415,168,56,16,15,15,17
rpl-7A,777,592,564,299,21,10,1,2
tald-1,1010,815,610,250,62,63,1,6
Y24D9B.1,12,25,0,0,1,1,3,2
Y24F12A.1,2942,6665,1832,453,114,88,138,104
ragc-1,1929,4003,2210,769,142,127,101,110
Y25C1A.13,413,567,345,131,20,27,24,26
copb-1,1172,1177,491,272,107,138,8,20
Y25C1A.6,15,24,26,11,7,4,1,1
Y25C1A.7,865,1973,692,257,85,81,43,35
Y25C1A.8,383,906,232,112,53,30,33,49
ekl-5,405,2212,682,54,72,75,111,108
Y26E6A.2,32,43,39,0,1,5,5,8
Y26E6A.3,11,1,2,0,2,1,1,1
Y27F2A.11,0,8,0,0,1,1,1,1
sri-40,1,5,4,0,1,1,1,1
Y27F2A.6,23,41,18,9,2,1,1,1
Y27F2A.8,17,15,6,7,1,1,1,1
mes-4,1198,3218,1135,324,197,172,139,145
col-162,0,1,0,0,1,1,1,1
Y2H9A.4,7,1,0,0,1,1,1,1
Y2H9A.6,3,8,7,4,1,2,1,2
Y32B12B.1,0,2,0,1,1,2,1,1
Y32B12B.2,710,910,374,225,66,40,33,43
Y32B12B.4,901,1148,540,264,71,102,5,12
set-22,1115,1202,972,277,32,39,45,38
snf-10,4,0,0,0,1,1,1,1
pap-1,935,1597,761,174,158,154,31,34
crp-1,3,7,3,0,1,1,1,1
nphp-2,5,7,3,0,1,1,1,1
zig-11,55,80,44,15,42,32,1,5
Y32G9B.1,12,13,9,6,1,1,1,1
Y32H12A.1,7,2,0,0,1,1,1,1
thoc-5,808,1790,668,251,78,50,128,112
dhs-9,171,176,104,46,6,6,3,1
szy-2,632,1811,868,256,45,33,50,44
paqr-2,180,685,231,52,33,31,25,30
Y32H12A.6,81,154,21,12,1,5,2,2
Y32H12A.7,1023,872,567,282,41,40,2,2
Y32H12A.8,909,1442,480,265,228,158,104,84
Y34B4A.10,5,1,2,0,1,1,1,1
Y34B4A.2,318,800,409,116,22,17,11,7
hst-6,853,1349,686,200,21,20,12,20
Y34B4A.4,0,1,0,0,1,1,1,1
Y34B4A.7,203,239,112,54,5,6,1,1
rga-8,377,652,252,82,24,25,3,3
mrpl-38,846,873,627,314,42,36,10,3
vps-4,150,306,123,69,59,61,10,18
spp-23,4,0,0,0,1,1,1,1
Y34D9A.3,390,566,274,104,20,33,18,26
spd-1,238,281,142,51,11,16,9,9
glrx-10,511,568,450,210,17,17,21,9
Y34D9A.7,96,77,16,14,85,61,121,135
mig-1,179,252,121,50,8,9,3,2
Y34F4.5,109,345,71,55,2,1,3,1
Y37A1A.2,0,3,1,0,1,1,1,1
Y37A1A.3,1,17,6,2,1,1,3,1
Y37A1A.4,231,250,172,61,22,23,17,14
srw-63,1,0,0,0,1,1,1,1
egl-23,32,4,7,10,1,3,1,1
Y37A1B.17,312,459,303,93,58,67,10,6
ccar-1,4374,3404,2241,1442,326,376,116,139
lst-4,1188,1071,535,282,72,116,1,22
Y37A1B.5,4,0,0,0,1,1,1,1
nkcc-1,382,409,111,80,35,66,3,6
cutl-23,2,13,1,3,2,6,1,1
rev-3,256,249,128,90,12,31,2,6
Y37B11A.3,9,0,1,2,1,2,1,1
arx-5,630,411,384,267,32,25,1,5
spcs-2,1396,1973,1503,623,72,76,26,20
cec-7,1820,2551,982,434,52,75,110,92
enu-3.5,3,37,4,3,1,1,1,1
unc-71,3216,7406,2176,728,227,256,169,192
cox-5A,4291,5719,4061,1864,124,120,45,33
Y37D8A.16,5,12,0,3,1,1,1,1
npp-25,41,117,72,37,59,36,26,43
mrps-10,488,392,395,235,10,12,4,3
Y37D8A.2,332,669,320,87,14,23,7,7
rbm-7,685,894,693,220,58,29,66,54
epg-3,24,111,68,22,94,60,165,179
unc-25,0,0,2,0,1,1,1,1
Y37D8A.25,428,1011,447,198,12,9,15,19
Y37D8A.3,0,0,2,1,1,1,1,1
Y37D8A.4,1011,935,710,289,39,37,38,42
Y37D8A.6,1,9,0,0,1,2,1,1
mrg-1,2118,10274,2548,534,132,117,234,182
Y37E11AL.1,0,0,4,0,1,1,1,1
Y37E11AL.2,14,18,8,1,2,1,1,1
Y37E11AL.3,1352,2219,872,438,84,91,75,32
fmil-1,7,10,4,0,2,1,2,3
map-1,713,1062,715,224,44,51,28,25
taf-6.2,183,224,136,86,88,70,12,39
smgl-2,1059,1168,471,379,51,64,35,34
Y37E11AM.2,230,406,200,54,24,28,10,10
Y37E11AM.3,197,275,150,34,19,18,10,9
Y37E11AM.4,12,71,18,0,11,7,3,10
best-20,10,16,0,5,3,1,1,1
siah-1,166,143,85,23,12,11,6,9
nape-2,82,152,55,15,2,6,1,1
nape-1,0,4,0,0,1,1,1,1
ugt-45,590,769,411,152,28,33,2,1
vab-2,110,94,117,29,8,7,1,1
Y37E11B.1,14,13,21,3,1,2,1,1
Y37E11B.2,25,44,20,5,2,1,1,1
blos-7,452,830,409,190,18,13,19,17
taf-2,145,200,132,93,24,49,10,14
Y37E11B.5,98,201,75,43,18,15,2,2
Y37E11B.6,329,478,225,113,7,6,3,3
Y37E11B.7,2,8,1,0,1,1,1,1
unc-33,102,124,22,37,16,41,4,18
Y37E3.1,713,1347,506,281,30,27,12,13
eif-2alpha,529,663,227,120,96,90,10,32
pcyt-2.1,672,1683,983,236,50,44,129,89
iglr-3,80,56,38,23,2,2,1,2
npp-13,708,3200,965,215,113,108,197,163
fpn-1.1,11,18,9,5,1,1,1,1
Y37E3.17,1749,1745,860,594,152,208,18,29
rpb-10,355,523,423,171,16,15,6,14
Y37E3.30,3,4,0,2,1,1,1,1
moag-4,712,744,584,276,10,20,20,12
rla-1,664,449,820,396,11,8,1,4
Y37E3.8,1412,1039,1285,695,30,30,1,7
phb-1,2163,1665,1312,591,86,108,4,55
Y37F4.6,144,233,85,48,6,10,5,7
Y37H2A.10,3,10,12,11,1,1,1,1
Y37H2A.12,210,287,154,75,9,8,10,12
Y37H2A.18,9,28,9,12,1,2,1,1
Y37H2A.1,658,1035,561,152,46,69,7,15
fbxa-107,170,168,113,74,7,9,1,2
fbxa-210,781,1607,848,230,44,58,68,57
fbxa-211,6,30,7,0,1,1,1,1
Y37H2A.7,1,3,1,0,1,1,1,2
Y37H9A.1,128,120,67,42,10,6,3,2
Y37H9A.3,261,563,229,86,26,33,46,38
ndx-4,186,263,214,75,8,22,27,24
Y38A10A.11,0,1,0,0,1,1,1,1
fbxa-214,0,1,0,0,1,1,1,1
crt-1,13112,12451,5809,4265,403,552,17,79
smut-1,1460,4618,1657,379,91,65,158,142
Y38A10A.7,753,1501,910,268,35,42,75,43
ndx-3,108,94,70,34,5,6,1,1
pbs-3,2660,6431,2374,993,136,99,92,95
ulp-2,544,2164,708,180,103,91,141,142
prdx-6,138,183,109,40,6,4,2,1
Y38C1AA.12,31,44,29,13,11,4,18,13
gfrp-1,0,0,2,0,1,1,1,1
coa-1,246,424,167,64,5,10,1,1
Y38C1AA.1,462,776,384,136,71,77,1,9
csn-3,936,2933,1027,279,127,102,204,158
pnc-1,167,200,87,26,14,12,3,9
tcl-2,257,195,94,59,13,12,1,1
cutl-24,0,2,0,0,1,1,1,1
frm-5.2,6,7,2,0,1,4,1,1
frm-5.1,22,15,17,8,9,5,11,2
Y38C1BA.1,1,14,1,0,6,3,3,8
snn-1,101,206,25,16,2,7,3,4
cgp-1,1542,4507,1309,393,129,128,123,113
cyp-29A3,17,1,0,0,1,1,1,1
srt-52,1,0,0,0,1,1,1,1
Y38E10A.14,6,1,2,0,1,1,1,1
nhr-235,9,0,0,2,1,1,1,1
Y38E10A.2,0,0,0,2,1,1,1,1
Y38E10A.22,89,238,101,27,87,85,96,72
Y38E10A.24,172,133,236,97,17,24,3,3
Y38E10A.28,1,5,0,0,2,1,1,1
Y38E10A.3,4,0,2,2,2,1,1,1
clec-4,1,0,2,0,1,1,1,1
ceh-100,1918,1943,1028,483,133,158,43,80
Y38F1A.1,7,17,6,2,1,1,1,1
max-2,187,341,144,70,65,75,8,18
Y38F1A.2,280,552,168,51,3,10,1,3
ptr-18,2,0,0,0,4,1,1,1
cyd-1,100,107,90,28,10,7,1,11
hphd-1,115,342,103,13,11,10,9,13
Y38F1A.8,15,35,29,0,1,2,1,2
nsy-4,3,17,1,1,2,3,1,1
vha-11,423,1071,451,159,59,51,9,6
vha-3,64,42,19,28,16,18,7,10
nhr-236,0,2,0,0,1,1,1,1
Y38F2AR.10,5,2,3,2,1,1,1,1
Y38F2AR.12,11,23,8,4,2,1,1,1
eri-5,394,382,270,108,22,31,7,17
trap-3,1814,2489,1497,671,102,105,14,49
Y38F2AR.3,335,586,216,118,18,25,1,7
tftc-1,255,484,140,135,115,118,47,33
ppgn-1,621,512,301,153,29,52,18,24
Y38F2AR.9,906,832,698,523,43,51,1,32
Y38H6A.5,4,0,0,0,1,1,1,1
fbxa-150,34,37,33,11,1,1,3,2
famh-161,2,0,4,0,2,3,1,1
Y38H6C.15,2,6,0,0,1,1,1,1
Y38H6C.16,41,52,43,27,5,3,1,1
slc-36.3,0,1,0,0,1,1,1,1
Y38H6C.18,0,4,1,0,1,1,1,1
dct-16,2,0,0,0,1,1,1,1
Y38H6C.20,30,114,30,10,1,2,2,1
Y38H8A.1,4,2,2,0,1,1,1,1
Y38H8A.3,2,0,0,2,1,1,1,1
fezf-1,0,0,0,1,1,1,1,1
Y38H8A.7,7,1,5,3,2,2,7,1
dhs-11,192,198,177,115,7,5,4,3
orc-1,2862,5576,2149,1058,193,189,81,104
orc-4,486,1255,661,204,55,51,59,71
Y39A1A.14,559,537,467,211,23,24,3,3
cnt-2,681,1615,493,174,92,115,52,62
Y39A1A.16,2,2,4,2,1,1,1,1
fmo-3,2,3,0,0,1,1,1,1
epg-6,543,1679,727,183,94,95,86,85
Y39A1A.2,0,1,0,0,1,1,1,1
Y39A1A.20,116,94,79,39,8,4,5,2
Y39A1A.21,256,334,166,82,6,6,3,5
Y39A1A.22,95,78,92,46,81,107,3,16
hpr-9,402,457,192,120,20,34,1,3
Y39A1A.24,279,200,155,144,6,4,1,1
Y39A1A.3,256,146,178,74,10,12,2,3
rabx-5,106,172,69,13,47,40,17,19
mrpl-22,95,62,57,36,8,9,1,1
lron-10,381,520,426,146,24,25,5,10
swt-4,447,700,233,119,15,13,11,12
Y39A1A.9,20,21,38,3,1,5,1,1
ptr-19,0,1,1,0,1,1,1,1
dpy-28,494,2597,721,132,289,244,388,356
oxi-1,909,905,446,259,62,88,3,7
cey-4,7626,6744,2804,2391,187,222,37,89
hex-3,101,174,89,44,91,70,50,50
Y39A3B.3,0,0,0,1,1,1,1,1
ckr-2,4,0,0,0,1,1,1,1
Y39A3CL.1,878,830,435,244,62,41,8,16
rimb-1,0,1,1,0,1,1,1,1
Y39A3CL.3,73,93,99,68,24,27,7,6
Y39A3CL.4,339,337,209,119,14,22,1,1
clp-4,54,195,55,19,3,6,4,2
pvf-1,1,4,0,2,1,1,1,1
Y39A3CL.7,63,417,160,40,81,59,74,75
smi-1,374,550,302,93,14,10,9,6
ttc-7,52,142,65,13,45,31,22,24
ddp-1,199,222,334,125,26,30,3,4
hlh-33,71,42,28,21,1,2,2,1
pqn-82,343,595,303,69,48,31,36,38
Y39B6A.1,4,4,0,0,1,1,1,1
Y39B6A.10,681,916,651,298,36,33,44,31
dyf-17,50,105,35,35,8,2,2,1
bed-1,212,490,215,77,34,31,22,16
Y39B6A.13,943,1328,881,319,40,19,13,13
pro-3,368,80,61,96,46,43,7,4
zhp-4,292,210,200,141,14,7,2,3
nhr-95,105,114,74,29,3,4,1,2
pph-5,316,734,355,89,73,80,28,17
Y39B6A.30,0,1,0,0,1,1,1,1
Y39B6A.33,70,55,29,45,19,16,2,15
Y39B6A.34,41,20,31,8,3,5,2,2
tgt-2,862,1164,672,230,39,46,15,17
gtf-2F2,1018,2998,1185,293,63,52,102,100
Y39B6A.37,924,757,650,423,41,41,17,10
reps-1,77,209,64,7,18,11,17,10
mrps-35,586,742,436,152,65,61,34,36
Y39B6A.3,375,329,370,193,13,17,1,2
sws-1,369,1023,242,87,3,4,5,3
Y39B6A.42,378,382,284,166,20,18,3,3
Y39B6A.43,257,555,201,83,23,15,30,16
ztf-20,3,4,8,0,6,12,3,6
nhr-145,45,83,27,11,2,2,3,4
hot-2,15,22,6,0,1,1,1,1
Y39B6A.5,0,0,1,0,1,1,1,1
tsp-13,16,43,33,7,2,1,4,2
Y39B6A.7,6,4,0,0,1,1,1,1
Y39B6A.9,16,9,6,4,1,1,1,1
mlt-3,0,0,1,0,1,1,1,1
sre-15,1,2,2,6,1,1,1,1
dnj-26,174,138,177,87,16,24,1,1
Y39C12A.9,27,36,26,6,3,3,3,2
mltn-7,5,7,0,0,1,1,1,1
mltn-6,0,0,3,0,1,1,1,1
mltn-8,3,4,0,0,1,1,1,1
abt-4,6,0,0,0,1,1,1,1
ttm-1,370,552,275,101,9,19,16,20
bckd-1A,1167,1204,583,360,65,96,2,18
abce-1,223,488,238,79,51,65,7,9
Y39E4B.10,54,122,58,35,58,50,11,17
Y39E4B.11,0,4,0,2,1,1,1,1
gly-5,469,559,281,164,48,61,5,4
Y39E4B.13,0,1,2,0,1,1,1,1
snpc-1.2,1677,1962,1129,432,83,95,7,17
pqn-83,298,1051,466,85,57,30,77,71
Y39E4B.5,1366,1086,682,307,80,91,4,9
dhhc-8,195,662,169,69,76,60,62,79
zig-8,0,0,2,0,1,1,1,1
bre-2,4,8,0,0,2,1,1,1
rfip-2,633,1170,506,162,63,77,13,14
Y39F10C.1,13,17,11,20,1,1,1,1
Y39G10AL.1,1,0,0,0,1,2,1,2
cdk-7,856,2095,932,335,63,44,54,62
epg-2,20,36,22,3,6,4,3,1
Y39G10AR.11,23,31,7,6,10,11,1,1
tpxl-1,1348,3816,1596,341,187,131,158,196
icp-1,1339,3445,1224,310,124,88,158,128
mcm-4,4103,12685,4471,1387,431,379,538,532
Y39G10AR.16,1,16,4,2,1,1,1,1
sydn-1,46,64,29,30,26,31,3,16
dot-1.1,269,417,172,153,75,83,15,28
tbca-1,320,324,425,209,13,15,2,6
nsun-4,292,350,198,68,11,10,11,18
zwl-1,1438,4677,1554,648,180,159,209,179
Y39G10AR.32,560,474,467,208,36,50,44,23
nekl-1,2,13,0,0,1,1,3,1
zeel-1,0,1,0,0,1,1,1,1
ekl-7,206,261,191,46,20,19,1,3
eif-2gamma,2539,2766,1664,714,133,149,29,28
Y39G10AR.9,1430,4682,1377,621,63,75,126,101
Y39G8B.1,199,359,202,58,10,10,17,13
Y39G8B.2,300,686,226,101,10,8,18,9
xrn-1,118,298,111,69,142,115,137,104
col-87,0,1,0,0,1,1,1,1
oac-55,17,18,0,6,1,1,1,1
mtm-9,671,1328,446,219,58,47,23,30
Y39H10A.6,29,24,8,7,8,12,4,6
chk-1,1169,1454,633,364,51,55,13,17
Y39H10B.2,2,3,0,1,1,1,1,1
lbp-9,1715,1950,818,647,75,147,2,14
comt-3,8,2,4,2,1,1,1,3
comt-5,2,0,0,3,1,1,1,1
nhr-86,495,429,316,185,33,43,1,3
Y40B10A.9,47,34,29,10,3,3,1,1
Y40B1A.1,141,202,122,80,17,19,1,1
Y40B1A.2,1,7,5,0,6,9,1,5
Y40B1A.3,38,73,38,8,36,28,33,36
sptf-3,173,265,171,51,101,77,102,62
fbxb-66,0,0,0,1,1,1,1,1
eif-3.J,1932,2597,871,422,61,91,21,22
spr-5,472,903,381,140,82,44,19,30
Y40B1B.7,623,313,362,220,12,31,1,2
slc-25A46,428,1595,499,135,62,45,35,53
Y40C5A.3,0,1,0,0,2,1,1,1
Y40C5A.4,0,0,0,1,1,1,1,1
Y40D12A.1,792,519,354,204,41,65,1,3
ubh-3,803,1481,690,207,20,29,27,30
ubh-2,394,288,328,184,8,11,7,3
Y40H7A.4,9,3,7,9,1,3,1,1
elb-1,528,1141,474,191,20,27,32,23
Y41C4A.11,1,2,5,0,1,1,1,1
Y41C4A.12,39,49,48,19,2,4,1,1
sup-1,5,17,2,5,1,1,1,1
mrt-2,347,406,252,104,15,21,8,11
faah-6,0,1,0,0,1,1,1,1
Y41C4A.22,0,1,0,0,1,1,1,1
crh-1,138,202,66,32,46,48,54,74
Y41C4A.8,17,21,20,9,2,1,1,1
Y41C4A.9,672,973,474,192,38,37,7,25
Y41D4A.3,3,0,0,0,1,1,1,1
Y41D4A.4,1158,2709,1066,302,143,165,2,12
Y41D4A.5,403,1796,640,125,135,84,55,66
Y41D4A.6,391,752,270,136,13,18,6,10
Y41D4A.7,5,0,0,0,1,4,2,1
frpr-19,12,30,17,0,12,13,1,1
Y41D4B.1,4,6,2,1,1,1,2,1
dsl-3,14,16,5,6,1,1,1,1
Y41D4B.11,381,483,261,198,19,32,21,13
set-23,132,151,72,25,4,4,2,1
ced-2,1329,1807,821,433,55,67,3,16
Y41D4B.14,2,0,0,0,1,1,1,1
Y41D4B.15,2,3,0,0,1,1,1,1
npp-8,879,5688,1670,242,420,329,411,364
nhr-274,42,44,33,21,48,31,10,10
Y41D4B.24,4,0,0,0,1,1,1,1
Y41D4B.4,113,358,146,40,45,50,30,44
rps-28,265,227,349,187,12,16,1,1
Y41D4B.6,0,1,0,0,1,1,1,1
nhr-87,1,0,9,2,1,1,1,1
nhr-92,1,3,2,0,1,1,1,1
nhr-122,202,286,141,43,9,9,1,2
eef-1B.2,3894,6647,2500,1057,30,62,19,51
hrpu-1,2687,3489,1407,611,291,384,146,209
srt-47,1,0,0,0,1,1,1,1
Y41E3.19,0,1,4,0,1,1,1,1
Y41E3.1,1939,2856,1342,562,128,192,50,33
Y41E3.22,0,0,0,8,1,1,1,1
atln-2,0,0,0,1,1,1,1,1
qars-1,1587,1657,1057,416,63,76,11,29
Y41E3.7,1947,2039,1036,515,108,122,21,21
Y41E3.8,233,423,179,86,5,11,12,11
fcd-2,612,1455,555,179,99,79,126,110
gbb-1,0,0,1,0,1,2,1,1
Y41G9A.5,3,0,0,0,1,1,1,1
lact-8,5,0,0,0,1,1,1,1
cdkl-1,0,1,0,0,1,1,1,1
Y42A5A.5,13,33,14,20,6,1,2,1
Y42G9A.1,2,1,1,0,1,1,1,1
Y42G9A.2,0,3,0,0,1,1,1,1
Y42G9A.3,2,5,0,7,1,1,1,1
mvk-1,763,2067,739,185,80,58,77,55
wht-7,763,1044,557,167,53,51,17,18
Y42H9AR.1,636,1445,612,146,67,43,12,36
Y42H9AR.2,6,6,4,14,1,1,1,1
rabs-5,239,193,185,74,9,14,1,2
Y42H9AR.4,359,794,363,101,65,40,43,44
Y42H9AR.5,0,6,0,7,1,1,1,1
rig-4,1753,5085,1579,556,612,528,279,276
Y42H9B.3,1954,2192,1542,429,65,72,112,91
Y43B11AL.1,20,52,17,13,2,3,3,1
Y43B11AR.1,6,5,4,0,1,1,1,1
Y43B11AR.3,13,30,16,8,2,1,1,1
rps-4,1036,527,788,469,36,28,1,5
srg-48,0,1,0,2,1,1,1,1
Y43C5A.4,0,0,1,0,1,1,1,1
thk-1,1436,3655,1376,388,34,41,54,49
rad-51,882,3574,944,286,80,85,67,75
Y43C5B.3,5,15,0,5,3,1,1,1
Y43D4A.5,0,2,0,0,1,1,1,1
Y43D4A.6,0,2,2,0,1,1,1,1
cyb-2.1,2455,2036,1862,687,81,91,9,16
Y43E12A.2,3,7,13,0,1,1,1,1
Y43E12A.3,231,388,195,93,11,19,3,1
set-24,744,690,484,185,68,84,14,13
Y43F4A.1,19,1,1,1,1,1,1,1
Y43F4B.10,464,976,537,187,29,27,55,46
set-25,338,1055,364,98,63,76,27,20
npp-18,1377,5173,1585,360,111,104,232,189
Y43F4B.5,811,670,501,252,36,49,1,3
klp-19,1552,2283,934,416,84,107,82,62
Y43F4B.7,890,1009,592,181,42,58,4,3
Y43F4B.9,465,439,304,232,18,30,1,1
